Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Wed Aug 20 19:19:13 2025
| Host         : u20-VirtualBox running 64-bit Ubuntu 20.04 LTS
| Command      : report_utilization -hierarchical -file /home/u20/chipyard/fpga/generated-src/chipyard.fpga.arty.Arty35THarness.ServArtyConfig/obj/report/utilization.txt
| Design       : Arty35THarness
| Device       : 7a35ticsg324-1L
| Design State : Physopt postRoute
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------+--------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                        |                         Module                         | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|                     alu                                 |                                               serv_alu |          2 |          2 |       0 |    0 |    2 |      0 |      0 |          0 |
|                     bufreg                              |                                            serv_bufreg |         39 |         39 |       0 |    0 |   33 |      0 |      0 |          0 |
|                     bufreg2                             |                                           serv_bufreg2 |         42 |         42 |       0 |    0 |   32 |      0 |      0 |          0 |
|                     ctrl                                |                                              serv_ctrl |          2 |          2 |       0 |    0 |   34 |      0 |      0 |          0 |
|                     decode                              |                                            serv_decode |         72 |         72 |       0 |    0 |   13 |      0 |      0 |          0 |
|                     gen_csr.csr                         |                                               serv_csr |          3 |          3 |       0 |    0 |   10 |      0 |      0 |          0 |
|                     immdec                              |                                            serv_immdec |          5 |          5 |       0 |    0 |   27 |      0 |      0 |          0 |
|                     mem_if                              |                                            serv_mem_if |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|                     state                               |                                             serv_state |         69 |         69 |       0 |    0 |   11 |      0 |      0 |          0 |
|                   mux                                   |                                            servile_mux |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|                   rf_ram_if                             |                                         serv_rf_ram_if |         26 |         26 |       0 |    0 |   43 |      0 |      0 |          0 |
|           shrinker                                      |                                     TLSourceShrinker_1 |         29 |         29 |       0 |    0 |   20 |      0 |      0 |          0 |
|           tl2axi4                                       |                                               TLToAXI4 |         72 |         72 |       0 |    0 |   87 |      0 |      0 |          0 |
|             (tl2axi4)                                   |                                               TLToAXI4 |         18 |         18 |       0 |    0 |   16 |      0 |      0 |          0 |
|             nodeOut_w_deq_q                             |                                     Queue1_AXI4BundleW |         39 |         39 |       0 |    0 |   37 |      0 |      0 |          0 |
|             queue_arw_deq_q                             |                                   Queue1_AXI4BundleARW |         16 |         16 |       0 |    0 |   34 |      0 |      0 |          0 |
|           xbar                                          |                             TLXbar_i1_o2_a31d32s3k1z4u |         18 |         18 |       0 |    0 |    9 |      0 |      0 |          0 |
|       tlDM                                              |                                          TLDebugModule |       1050 |       1042 |       8 |    0 | 1195 |      0 |      0 |          0 |
|         dmInner                                         |                                TLDebugModuleInnerAsync |       1022 |       1014 |       8 |    0 | 1079 |      0 |      0 |          0 |
|           dmInner                                       |                                     TLDebugModuleInner |        696 |        688 |       8 |    0 |  970 |      0 |      0 |          0 |
|             (dmInner)                                   |                                     TLDebugModuleInner |        515 |        515 |       0 |    0 |  957 |      0 |      0 |          0 |
|             hartIsInResetSync_0_debug_hartReset_0       |             AsyncResetSynchronizerShiftReg_w1_d3_i0_39 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|               output_chain                              |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_40 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|             sb2tlOpt                                    |                                                 SBToTL |        178 |        170 |       8 |    0 |   10 |      0 |      0 |          0 |
|               (sb2tlOpt)                                |                                                 SBToTL |        127 |        127 |       0 |    0 |    7 |      0 |      0 |          0 |
|               d_q                                       |                          Queue2_TLBundleD_a31d8s1k1z4u |         51 |         43 |       8 |    0 |    3 |      0 |      0 |          0 |
|                 (d_q)                                   |                          Queue2_TLBundleD_a31d8s1k1z4u |         24 |         24 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 ram_ext                                 |                                               ram_2x10 |         27 |         19 |       8 |    0 |    0 |      0 |      0 |          0 |
|           dmactive_synced_dmInner_io_innerCtrl_sink     |                     AsyncQueueSink_DebugInternalBundle |          4 |          4 |       0 |    0 |    7 |      0 |      0 |          0 |
|             (dmactive_synced_dmInner_io_innerCtrl_sink) |                     AsyncQueueSink_DebugInternalBundle |          1 |          1 |       0 |    0 |    2 |      0 |      0 |          0 |
|             io_deq_bits_deq_bits_reg                    |                                   ClockCrossingReg_w15 |          2 |          2 |       0 |    0 |    2 |      0 |      0 |          0 |
|             widx_widx_gray                              |             AsyncResetSynchronizerShiftReg_w1_d3_i0_37 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|               output_chain                              |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_38 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|           dmactive_synced_dmactive_synced_dmactiveSync  |             AsyncResetSynchronizerShiftReg_w1_d3_i0_19 |         32 |         32 |       0 |    0 |    8 |      0 |      0 |          0 |
|             output_chain                                |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_36 |         32 |         32 |       0 |    0 |    8 |      0 |      0 |          0 |
|           dmiXing                                       |                       TLAsyncCrossingSink_a9d32s1k1z2u |        292 |        292 |       0 |    0 |   94 |      0 |      0 |          0 |
|             nodeIn_d_source                             |                AsyncQueueSource_TLBundleD_a9d32s1k1z2u |          2 |          2 |       0 |    0 |   43 |      0 |      0 |          0 |
|               (nodeIn_d_source)                         |                AsyncQueueSource_TLBundleD_a9d32s1k1z2u |          1 |          1 |       0 |    0 |   34 |      0 |      0 |          0 |
|               ridx_ridx_gray                            |             AsyncResetSynchronizerShiftReg_w1_d3_i0_28 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 output_chain                            |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_35 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid_0                            |                                      AsyncValidSync_29 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_33 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_34 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid_1                            |                                      AsyncValidSync_30 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_31 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_32 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|             nodeOut_a_sink                              |                  AsyncQueueSink_TLBundleA_a9d32s1k1z2u |        290 |        290 |       0 |    0 |   51 |      0 |      0 |          0 |
|               (nodeOut_a_sink)                          |                  AsyncQueueSink_TLBundleA_a9d32s1k1z2u |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                  |                                   ClockCrossingReg_w55 |        287 |        287 |       0 |    0 |   40 |      0 |      0 |          0 |
|               source_extend                             |                                      AsyncValidSync_20 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_26 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_27 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid                              |                                      AsyncValidSync_21 |          4 |          4 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_24 |          4 |          4 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_25 |          4 |          4 |       0 |    0 |    3 |      0 |      0 |          0 |
|               widx_widx_gray                            |             AsyncResetSynchronizerShiftReg_w1_d3_i0_22 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 output_chain                            |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_23 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|         dmOuter                                         |                                TLDebugModuleOuterAsync |         28 |         28 |       0 |    0 |  116 |      0 |      0 |          0 |
|           asource                                       |                     TLAsyncCrossingSource_a9d32s1k1z2u |          5 |          5 |       0 |    0 |   94 |      0 |      0 |          0 |
|             nodeIn_d_sink                               |                  AsyncQueueSink_TLBundleD_a9d32s1k1z2u |          3 |          3 |       0 |    0 |   43 |      0 |      0 |          0 |
|               (nodeIn_d_sink)                           |                  AsyncQueueSink_TLBundleD_a9d32s1k1z2u |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|               io_deq_bits_deq_bits_reg                  |                                   ClockCrossingReg_w43 |          0 |          0 |       0 |    0 |   32 |      0 |      0 |          0 |
|               source_extend                             |                                      AsyncValidSync_11 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_17 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_18 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid                              |                                      AsyncValidSync_12 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |           AsyncResetSynchronizerShiftReg_w1_d3_i0_1_15 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_16 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|               widx_widx_gray                            |             AsyncResetSynchronizerShiftReg_w1_d3_i0_13 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 output_chain                            |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_14 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|             nodeOut_a_source                            |                AsyncQueueSource_TLBundleA_a9d32s1k1z2u |          3 |          3 |       0 |    0 |   51 |      0 |      0 |          0 |
|               (nodeOut_a_source)                        |                AsyncQueueSource_TLBundleA_a9d32s1k1z2u |          2 |          2 |       0 |    0 |   42 |      0 |      0 |          0 |
|               ridx_ridx_gray                            |              AsyncResetSynchronizerShiftReg_w1_d3_i0_5 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 output_chain                            |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_10 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid_0                            |                                         AsyncValidSync |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |            AsyncResetSynchronizerShiftReg_w1_d3_i0_1_8 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |        AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_9 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|               source_valid_1                            |                                       AsyncValidSync_6 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                 io_out_source_valid_0                   |              AsyncResetSynchronizerShiftReg_w1_d3_i0_1 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|                   output_chain                          |        AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_7 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|           dmOuter                                       |                                     TLDebugModuleOuter |          0 |          0 |       0 |    0 |    6 |      0 |      0 |          0 |
|           dmactiveAck_dmactiveAckSync                   |              AsyncResetSynchronizerShiftReg_w1_d3_i0_2 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|             output_chain                                |        AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_4 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|           dmiBypass                                     |                                            TLBusBypass |         12 |         12 |       0 |    0 |    4 |      0 |      0 |          0 |
|             bar                                         |                                         TLBusBypassBar |         12 |         12 |       0 |    0 |    4 |      0 |      0 |          0 |
|           dmiXbar                                       |                      TLXbar_dmixbar_i1_o2_a9d32s1k1z2u |          4 |          4 |       0 |    0 |    2 |      0 |      0 |          0 |
|           io_innerCtrl_source                           |                   AsyncQueueSource_DebugInternalBundle |          7 |          7 |       0 |    0 |    7 |      0 |      0 |          0 |
|             (io_innerCtrl_source)                       |                   AsyncQueueSource_DebugInternalBundle |          6 |          6 |       0 |    0 |    4 |      0 |      0 |          0 |
|             ridx_ridx_gray                              |              AsyncResetSynchronizerShiftReg_w1_d3_i0_3 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|               output_chain                              |          AsyncResetSynchronizerPrimitiveShiftReg_d3_i0 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|       uartClockDomainWrapper                            |                                  TLUARTClockSinkDomain |         99 |         83 |      16 |    0 |  110 |      0 |      0 |          0 |
|         uart_0                                          |                                                 TLUART |         99 |         83 |      16 |    0 |  110 |      0 |      0 |          0 |
|           (uart_0)                                      |                                                 TLUART |          0 |          0 |       0 |    0 |   29 |      0 |      0 |          0 |
|           intsource                                     |                             IntSyncCrossingSource_n1x1 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|             reg_0                                       |                                 AsyncResetRegVec_w1_i0 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           rxm                                           |                                                 UARTRx |         34 |         34 |       0 |    0 |   36 |      0 |      0 |          0 |
|           rxq                                           |                                           Queue8_UInt8 |         19 |         11 |       8 |    0 |    7 |      0 |      0 |          0 |
|             (rxq)                                       |                                           Queue8_UInt8 |          8 |          8 |       0 |    0 |    7 |      0 |      0 |          0 |
|             ram_ext                                     |                                              ram_8x8_1 |         11 |          3 |       8 |    0 |    0 |      0 |      0 |          0 |
|           txm                                           |                                                 UARTTx |         28 |         28 |       0 |    0 |   30 |      0 |      0 |          0 |
|           txq                                           |                                         Queue8_UInt8_0 |         18 |         10 |       8 |    0 |    7 |      0 |      0 |          0 |
|             (txq)                                       |                                         Queue8_UInt8_0 |          9 |          9 |       0 |    0 |    7 |      0 |      0 |          0 |
|             ram_ext                                     |                                                ram_8x8 |         10 |          2 |       8 |    0 |    0 |      0 |      0 |          0 |
|   chiptop0_sjtag_reset_fpga_power_on                    |                                   PowerOnResetFPGAOnly |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|   ip_mmcm                                               |                                                   mmcm |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     inst                                                |                                           mmcm_clk_wiz |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
+---------------------------------------------------------+--------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version      : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date              : Wed Aug 20 19:19:17 2025
| Host              : u20-VirtualBox running 64-bit Ubuntu 20.04 LTS
| Command           : report_clock_utilization -file /home/u20/chipyard/fpga/generated-src/chipyard.fpga.arty.Arty35THarness.ServArtyConfig/obj/report/utilization.txt -append
| Design            : Arty35THarness
| Device            : 7a35ti-csg324
| Speed File        : -1L  PRODUCTION 1.23 2018-06-13
| Temperature Grade : I
| Design State      : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Clock Utilization Report

Table of Contents
-----------------
1. Clock Primitive Utilization
2. Global Clock Resources
3. Global Clock Source Details
4. Clock Regions: Key Resource Utilization
5. Clock Regions : Global Clock Summary
6. Device Cell Placement Summary for Global Clock g0
7. Device Cell Placement Summary for Global Clock g1
8. Device Cell Placement Summary for Global Clock g2
9. Device Cell Placement Summary for Global Clock g3
10. Clock Region Cell Placement per Global Clock: Region X0Y0
11. Clock Region Cell Placement per Global Clock: Region X1Y0
12. Clock Region Cell Placement per Global Clock: Region X0Y1
13. Clock Region Cell Placement per Global Clock: Region X1Y1
14. Clock Region Cell Placement per Global Clock: Region X0Y2
15. Clock Region Cell Placement per Global Clock: Region X1Y2

1. Clock Primitive Utilization
------------------------------

+----------+------+-----------+-----+--------------+--------+
| Type     | Used | Available | LOC | Clock Region | Pblock |
+----------+------+-----------+-----+--------------+--------+
| BUFGCTRL |    4 |        32 |   0 |            0 |      0 |
| BUFH     |    0 |        72 |   0 |            0 |      0 |
| BUFIO    |    0 |        20 |   0 |            0 |      0 |
| BUFMR    |    0 |        10 |   0 |            0 |      0 |
| BUFR     |    0 |        20 |   0 |            0 |      0 |
| MMCM     |    1 |         5 |   0 |            0 |      0 |
| PLL      |    0 |         5 |   0 |            0 |      0 |
+----------+------+-----------+-----+--------------+--------+


2. Global Clock Resources
-------------------------

+-----------+-----------+-----------------+------------+----------------+--------------+-------------------+-------------+-----------------+--------------+---------------+-------------------------------------------+-----------------------------------+
| Global Id | Source Id | Driver Type/Pin | Constraint | Site           | Clock Region | Load Clock Region | Clock Loads | Non-Clock Loads | Clock Period | Clock         | Driver Pin                                | Net                               |
+-----------+-----------+-----------------+------------+----------------+--------------+-------------------+-------------+-----------------+--------------+---------------+-------------------------------------------+-----------------------------------+
| g0        | src0      | BUFG/O          | None       | BUFGCTRL_X0Y16 | n/a          |                 5 |        2779 |               1 |       30.782 | clk_out3_mmcm | ip_mmcm/inst/clkout3_buf/O                | ip_mmcm/inst/clk_out3             |
| g1        | src1      | BUFG/O          | None       | BUFGCTRL_X0Y0  | n/a          |                 4 |        1069 |               0 |       30.782 | clk_out3_mmcm | ABSTRACTAUTOReg_autoexecdata_reg[7]_i_3/O | _gated_clock_debug_clock_gate_out |
| g2        | src2      | BUFG/O          | None       | BUFGCTRL_X0Y17 | n/a          |                 2 |         283 |               0 |      100.000 | JTCK          | _jtag_TCK_i_ival_pad_O_BUFG_inst/O        | _jtag_TCK_i_ival_pad_O_BUFG       |
| g3        | src3      | BUFG/O          | None       | BUFGCTRL_X0Y18 | n/a          |                 1 |           1 |               0 |       60.000 | clkfbout_mmcm | ip_mmcm/inst/clkf_buf/O                   | ip_mmcm/inst/clkfbout_buf_mmcm    |
+-----------+-----------+-----------------+------------+----------------+--------------+-------------------+-------------+-----------------+--------------+---------------+-------------------------------------------+-----------------------------------+
* Clock Loads column represents the clock pin loads (pin count)
** Non-Clock Loads column represents the non-clock pin loads (pin count)


3. Global Clock Source Details
------------------------------

+-----------+-----------+---------------------+------------+-----------------+--------------+-------------+-----------------+---------------------+--------------+-----------------------------------------------------------------------------+----------------------------------------------------+
| Source Id | Global Id | Driver Type/Pin     | Constraint | Site            | Clock Region | Clock Loads | Non-Clock Loads | Source Clock Period | Source Clock | Driver Pin                                                                  | Net                                                |
+-----------+-----------+---------------------+------------+-----------------+--------------+-------------+-----------------+---------------------+--------------+-----------------------------------------------------------------------------+----------------------------------------------------+
| src0      | g0        | MMCME2_ADV/CLKOUT2  | None       | MMCME2_ADV_X1Y1 | X1Y1         |           1 |               0 |              30.782 | Multiple     | ip_mmcm/inst/mmcm_adv_inst/CLKOUT2                                          | ip_mmcm/inst/clk_out3_mmcm                         |
| src1      | g1        | LUT2/O              | None       | SLICE_X36Y46    | X1Y0         |           1 |               0 |              30.782 | Multiple     | chiptop0/gated_clock_debug_clock_gate/ABSTRACTAUTOReg_autoexecdata[7]_i_6/O | chiptop0/gated_clock_debug_clock_gate/clock_en_reg |
| src2      | g2        | IBUF/O              | IOB_X1Y74  | IOB_X1Y74       | X1Y1         |           1 |               0 |             100.000 | JTCK         | jtag_TCK_i_ival_pad/IBUF/O                                                  | jtag_TCK_i_ival_pad/O                              |
| src3      | g3        | MMCME2_ADV/CLKFBOUT | None       | MMCME2_ADV_X1Y1 | X1Y1         |           1 |               0 |              60.000 | Multiple     | ip_mmcm/inst/mmcm_adv_inst/CLKFBOUT                                         | ip_mmcm/inst/clkfbout_mmcm                         |
+-----------+-----------+---------------------+------------+-----------------+--------------+-------------+-----------------+---------------------+--------------+-----------------------------------------------------------------------------+----------------------------------------------------+
* Clock Loads column represents the clock pin loads (pin count)
** Non-Clock Loads column represents the non-clock pin loads (pin count)


4. Clock Regions: Key Resource Utilization
------------------------------------------

+-------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+
|                   | Global Clock |     BUFRs    |    BUFMRs    |    BUFIOs    |     MMCM     |      PLL     |      GT      |      PCI     |    ILOGIC    |    OLOGIC    |      FF      |     LUTM     |    RAMB18    |    RAMB36    |    DSP48E2   |
+-------------------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+
| Clock Region Name | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail | Used | Avail |
+-------------------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+
| X0Y0              |    1 |    12 |    0 |     4 |    0 |     2 |    0 |     4 |    0 |     1 |    0 |     1 |    0 |     0 |    0 |     0 |    0 |    50 |    0 |    50 |    3 |  1200 |    0 |   400 |    0 |    20 |    0 |    10 |    0 |    20 |
| X1Y0              |    1 |    12 |    0 |     4 |    0 |     2 |    0 |     4 |    0 |     1 |    0 |     1 |    0 |     0 |    0 |     0 |    0 |    50 |    0 |    50 |   31 |  1500 |   11 |   450 |    0 |    40 |    0 |    20 |    0 |    20 |
| X0Y1              |    2 |    12 |    0 |     4 |    0 |     2 |    0 |     4 |    0 |     1 |    0 |     1 |    0 |     0 |    0 |     0 |    0 |    50 |    0 |    50 |  646 |  1200 |  153 |   400 |    0 |    20 |    0 |    10 |    0 |    20 |
| X1Y1              |    4 |    12 |    0 |     4 |    0 |     2 |    0 |     4 |    1 |     1 |    0 |     1 |    0 |     0 |    0 |     0 |    0 |    50 |    0 |    50 | 2504 |  1500 |  560 |   450 |    0 |    40 |    2 |    20 |    0 |    20 |
| X0Y2              |    1 |    12 |    0 |     4 |    0 |     2 |    0 |     4 |    0 |     1 |    0 |     1 |    0 |     0 |    0 |     0 |    0 |    50 |    0 |    50 |  349 |  1800 |   41 |   400 |    0 |    20 |    0 |    10 |    0 |    20 |
| X1Y2              |    3 |    12 |    0 |     0 |    0 |     0 |    0 |     0 |    0 |     0 |    0 |     0 |    0 |     4 |    0 |     1 |    0 |     0 |    0 |     0 |  385 |   950 |  169 |   300 |    0 |    10 |    0 |     5 |    0 |    20 |
+-------------------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+------+-------+
* Global Clock column represents track count; while other columns represents cell counts


5. Clock Regions : Global Clock Summary
---------------------------------------

All Modules
+----+----+----+
|    | X0 | X1 |
+----+----+----+
| Y2 |  1 |  3 |
| Y1 |  2 |  4 |
| Y0 |  1 |  1 |
+----+----+----+


6. Device Cell Placement Summary for Global Clock g0
----------------------------------------------------

+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------+
| Global Id | Driver Type/Pin | Driver Region (D) | Clock    | Period (ns) | Waveform (ns)  | Slice Loads | IO Loads | Clocking Loads | GT Loads | Net                   |
+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------+
| g0        | BUFG/O          | n/a               | Multiple |      30.782 | {0.000 15.391} |        2570 |        0 |              0 |        0 | ip_mmcm/inst/clk_out3 |
+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------+
* Slice Loads column represents load cell count of all cell types other than IO, GT and clock resources
** IO Loads column represents load cell count of IO types
*** Clocking Loads column represents load cell count that are clock resources (global clock buffer, MMCM, PLL, etc)
**** GT Loads column represents load cell count of GT types


+----+------+-------+-----------------------+
|    | X0   | X1    | HORIZONTAL PROG DELAY |
+----+------+-------+-----------------------+
| Y2 |    0 |    13 |                     0 |
| Y1 |  612 |  1909 |                     0 |
| Y0 |    3 |    33 |                     0 |
+----+------+-------+-----------------------+


7. Device Cell Placement Summary for Global Clock g1
----------------------------------------------------

+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------------+
| Global Id | Driver Type/Pin | Driver Region (D) | Clock    | Period (ns) | Waveform (ns)  | Slice Loads | IO Loads | Clocking Loads | GT Loads | Net                               |
+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------------+
| g1        | BUFG/O          | n/a               | Multiple |      30.782 | {0.000 15.391} |        1069 |        0 |              0 |        0 | _gated_clock_debug_clock_gate_out |
+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------------+
* Slice Loads column represents load cell count of all cell types other than IO, GT and clock resources
** IO Loads column represents load cell count of IO types
*** Clocking Loads column represents load cell count that are clock resources (global clock buffer, MMCM, PLL, etc)
**** GT Loads column represents load cell count of GT types


+----+------+------+-----------------------+
|    | X0   | X1   | HORIZONTAL PROG DELAY |
+----+------+------+-----------------------+
| Y2 |  349 |  164 |                     0 |
| Y1 |   34 |  522 |                     0 |
| Y0 |    0 |    0 |                     0 |
+----+------+------+-----------------------+


8. Device Cell Placement Summary for Global Clock g2
----------------------------------------------------

+-----------+-----------------+-------------------+-------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------+
| Global Id | Driver Type/Pin | Driver Region (D) | Clock | Period (ns) | Waveform (ns)  | Slice Loads | IO Loads | Clocking Loads | GT Loads | Net                         |
+-----------+-----------------+-------------------+-------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------+
| g2        | BUFG/O          | n/a               | JTCK  |     100.000 | {0.000 50.000} |         283 |        0 |              0 |        0 | _jtag_TCK_i_ival_pad_O_BUFG |
+-----------+-----------------+-------------------+-------+-------------+----------------+-------------+----------+----------------+----------+-----------------------------+
* Slice Loads column represents load cell count of all cell types other than IO, GT and clock resources
** IO Loads column represents load cell count of IO types
*** Clocking Loads column represents load cell count that are clock resources (global clock buffer, MMCM, PLL, etc)
**** GT Loads column represents load cell count of GT types


+----+----+------+-----------------------+
|    | X0 | X1   | HORIZONTAL PROG DELAY |
+----+----+------+-----------------------+
| Y2 |  0 |  208 |                     0 |
| Y1 |  0 |   75 |                     0 |
| Y0 |  0 |    0 |                     0 |
+----+----+------+-----------------------+


9. Device Cell Placement Summary for Global Clock g3
----------------------------------------------------

+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+--------------------------------+
| Global Id | Driver Type/Pin | Driver Region (D) | Clock    | Period (ns) | Waveform (ns)  | Slice Loads | IO Loads | Clocking Loads | GT Loads | Net                            |
+-----------+-----------------+-------------------+----------+-------------+----------------+-------------+----------+----------------+----------+--------------------------------+
